*sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
BOR07_01	BOR07_01_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_01_2.fq.gz					
BOR07_02	BOR07_02_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_02_PE.1.fq.gz					
BOR07_03	BOR07_03	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_03.fq.gz					
BOR07_04	BOR07_04	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_04.fq.gz					
BOR07_05	BOR07_05_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_05_PE.1.fq.gz					
BOR07_06	BOR07_06_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_06_PE.1.fq.gz					
BOR07_07	BOR07_07_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_07_PE.1.fq.gz					
BOR07_08	BOR07_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_08_PE.1.fq.gz					
BOR07_09	BOR07_09	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_09.fq.gz					
BOR07_11	BOR07_11_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_11_PE.1.fq.gz					
BOR07_12	BOR07_12_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_12_PE.1.fq.gz					
BOR07_13	BOR07_13_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_13_PE.1.fq.gz					
BOR07_14	BOR07_14	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_14.fq.gz					
BOR07_15	BOR07_15	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_15.fq.gz					
BOR07_16	BOR07_16	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_16.fq.gz					
BOR07_17	BOR07_17_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_17_PE.1.fq.gz					
BOR07_18	BOR07_18	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_18.fq.gz					
BOR07_19	BOR07_19_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_19_PE.1.fq.gz					
BOR07_20	BOR07_20_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_20_PE.1.fq.gz					
BOR07_21	BOR07_21_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_21_2.fq.gz					
BOR07_22	BOR07_22	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	BOR07_22.fq.gz					
GE011215_01	GE011215_01_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_01_PE.1.fq.gz					
GE011215_07	GE011215_07_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_07_PE.1.fq.gz					
GE011215_08	GE011215_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_08_PE.1.fq.gz					
GE011215_09	GE011215_09_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_09_PE.1.fq.gz					
GE011215_10	GE011215_10_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_10_PE.1.fq.gz					
GE011215_11	GE011215_11	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_11.fq.gz					
GE011215_14	GE011215_14_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_14_PE.1.fq.gz					
GE011215_15	GE011215_15_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_15_PE.1.fq.gz					
GE011215_16	GE011215_16_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_16_PE.1.fq.gz					
GE011215_18	GE011215_18	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_18.fq.gz					
GE011215_19	GE011215_19	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_19.fq.gz					
GE011215_20	GE011215_20_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_20_PE.1.fq.gz					
GE011215_21	GE011215_21_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_21_PE.1.fq.gz					
GE011215_22	GE011215_22	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_22.fq.gz					
GE011215_24	GE011215_24_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE011215_24_PE.1.fq.gz					
