SampleID	IndID	PopID
267	BOR07_01	South
289	BOR07_01_2	South
268	BOR07_02.1	South
269	BOR07_03	South
270	BOR07_04	South
271	BOR07_05.1	South
272	BOR07_06.1	South
273	BOR07_07.1	South
274	BOR07_08.1	South
275	BOR07_09	South
276	BOR07_10.1	South
277	BOR07_11.1	South
278	BOR07_12.1	South
279	BOR07_13.1	South
280	BOR07_14	South
281	BOR07_15	South
282	BOR07_16	South
283	BOR07_17.1	South
284	BOR07_18	South
285	BOR07_19.1	South
286	BOR07_20.1	South
287	BOR07_21.1	South
290	BOR07_21_2	South
288	BOR07_22	South
35	GE011215_01.1	South
36	GE011215_07.1	South
37	GE011215_08.1	South
38	GE011215_09.1	South
39	GE011215_10.1	South
70	GE011215_11	South
71	GE011215_11_rep	South
40	GE011215_14.1	South
41	GE011215_15.1	South
42	GE011215_16.1	South
43	GE011215_18	South
44	GE011215_19	South
45	GE011215_20.1	South
46	GE011215_21.1	South
47	GE011215_22	South
48	GE011215_24.1	South
49	GE011215_28	South
50	GE011215_29.1	South
51	GE011215_30.1	South
52	GE012315_01.1	South
53	GE012315_03.1	South
54	GE012315_04.1	South
55	GE012315_05.1	South
56	GE012315_06.1	South
57	GE012315_08.1	South
58	GE012315_09.1	South
69	GE012315_09_2	South
59	GE012315_10.1	South
60	GE012315_11.1	South
68	GE012315_11_2	South
61	GE012315_17.1	South
62	GE012315_20.1	South
63	GE012315_22.1	South
64	GEO012315_02	South
65	GEO012315_12	South
66	GEO012315_18	South
67	GEO012315_21	South
291	GEO020414_10	South
324	GEO020414_10_2	South
292	GEO020414_11	South
293	GEO020414_11_300	South
326	GEO020414_13_2	South
295	GEO020414_13_300	South
296	GEO020414_14	South
297	GEO020414_14_300	South
298	GEO020414_15	South
299	GEO020414_15_300	South
300	GEO020414_16	South
301	GEO020414_16_300	South
302	GEO020414_17	South
303	GEO020414_17_300	South
304	GEO020414_2	South
305	GEO020414_23	South
306	GEO020414_23_300	South
307	GEO020414_24	South
308	GEO020414_24_300	South
309	GEO020414_25	South
310	GEO020414_25_300	South
311	GEO020414_26	South
312	GEO020414_27	South
313	GEO020414_29	South
314	GEO020414_3	South
315	GEO020414_30	South
325	GEO020414_30_2	South
316	GEO020414_4	South
317	GEO020414_5	South
318	GEO020414_6	South
319	GEO020414_7	South
320	GEO020414_8	South
321	GEO020414_8_300	South
322	GEO020414_9	South
323	GEO020414_9_300	South
211	JB021108_01.1	South
