Sample.ID	Migrant	Assigned.Pop
PO010715_02	No	South
PO010715_04	No	South
PO010715_06	No	South
PO010715_08	No	South
PO010715_10	No	South
PO010715_11	Yes	West
PO010715_12	No	South
PO010715_17	No	South
PO010715_19	No	South
PO010715_27	No	South
PO010715_28	No	South
PO010715_29	No	South
PO020515_01	No	South
PO020515_03	No	South
PO020515_05	No	South
PO020515_06	Yes	West
PO020515_08	No	South
PO020515_09	No	South
PO020515_10	No	South
PO020515_14	No	South
PO020515_15	No	South
PO020515_16	No	South
PO020515_17	No	South
PO031715_03	No	South
PO031715_04	No	South
PO031715_13	No	South
PO031715_20	No	South
PO031715_23	No	South
PO031715_24	No	South
PO010715_26	No	South
PO010715_07	No	South
GE011215_01	No	South
GE011215_07	No	South
GE011215_08	No	South
GE011215_09	No	South
GE011215_10	No	South
GE011215_14	No	South
GE011215_15	No	South
GE011215_16	No	South
GE011215_18	No	South
GE011215_19	No	South
GE011215_20	No	South
GE011215_21	No	South
GE011215_22	No	South
GE011215_24	No	South
GE011215_28	No	South
GE011215_29	No	South
GE012315_01	No	South
GE012315_03	No	South
GE012315_06	Yes	West
GE012315_08	No	South
GE012315_17	No	South
GE012315_20	No	South
GE012315_22	No	South
GE012315_02	No	South
GE012315_12	No	South
GE012315_18	No	South
GE012315_21	No	South
GE011215_11	No	South
NA021015_02	No	South
NA021015_08	No	South
NA021015_14	No	South
NA021015_16	No	South
NA021015_17	No	South
NA021015_21	No	South
NA021015_22	Yes	West
NA021015_23	No	South
NA021015_25	No	South
NA021015_26	No	South
NA021015_30	Yes	West
YS_121316_01	No	West
YS_121316_03	No	West
YS_121316_05	No	West
YS_121316_13	No	West
YS_121316_17	No	West
YS_121316_18	No	West
YS_121316_21	No	West
YS_121316_22	No	West
YS_121316_23	No	West
YS_121316_24	No	West
YS_121316_25	No	West
YS_121316_26	No	West
YS_121316_27	No	West
YS_121316_28	No	West
YS_121316_29	No	West
YS_121316_08	No	West
YS_121316_10	No	West
YS_121316_12	No	West
YS_121316_15	No	West
YS_121316_16	No	West
YS_121316_30	No	West
YS_121316_04	No	West
YS_121316_19	No	West
YS_121316_20	No	West
YS_121316_07	No	West
JUK07_01	Yes	West
JUK07_02	No	East
JUK07_03	Yes	West
JUK07_06	No	East
JUK07_09	No	East
JUK07_14	No	East
JUK07_15	No	East
JUK07_16	No	East
JUK07_17	No	East
JUK07_18	No	East
JUK07_19	No	East
JUK07_20	No	East
JUK07_22	No	East
JUK07_25	No	East
JUK07_26	No	East
JUK07_27	No	East
JUK07_28	No	East
JUK07_29	No	East
JUK07_30	No	East
JUK07_32	No	East
JUK07_36	No	East
JUK07_37	No	East
JUK07_10	No	East
JUK07_13	Yes	West
JUK07_21	No	East
JUK07_23	No	East
JUK07_34	No	East
JUK07_04	No	East
JUK07_31	Yes	South
JUK07_11	No	East
JUK07_08	No	East
JUK07_33	No	East
BOR07_02	No	West
BOR07_03	No	West
BOR07_04	No	West
BOR07_05	No	West
BOR07_06	No	West
BOR07_07	No	West
BOR07_08	No	West
BOR07_09	No	West
BOR07_11	No	West
BOR07_12	No	West
BOR07_13	No	West
BOR07_14	No	West
BOR07_15	No	West
BOR07_16	No	West
BOR07_17	No	West
BOR07_18	No	West
BOR07_19	No	West
BOR07_20	No	West
BOR07_22	No	West
BOR07_01	No	West
BOR07_21	No	West
GEO020414_11	No	South
GEO020414_13	No	South
GEO020414_14	No	South
GEO020414_15	No	South
GEO020414_16	No	South
GEO020414_17	No	South
GEO020414_02	No	South
GEO020414_23	No	South
GEO020414_24	No	South
GEO020414_25	No	South
GEO020414_26	No	South
GEO020414_27	No	South
GEO020414_29	No	South
GEO020414_03	No	South
GEO020414_04	No	South
GEO020414_05	No	South
GEO020414_06	Yes	West
GEO020414_07	No	South
GEO020414_08	No	South
GEO020414_09	No	South
GEO020414_10	No	South
GEO020414_30	No	South
JB121807_01	No	South
JB121807_03	No	South
JB121807_06	No	South
JB121807_08	No	South
JB121807_11	No	South
JB121807_12	No	South
JB121807_14	No	South
JB121807_19	No	South
JB121807_20	No	South
JB121807_21	No	South
JB121807_24	No	South
JB121807_25	No	South
JB121807_28	No	South
JB121807_31	No	South
JB121807_32	No	South
JB121807_33	No	South
JB121807_34	No	South
JB121807_37	No	South
JB121807_38	No	South
JB121807_42	No	South
JB121807_44	No	South
JB121807_46	No	South
JB121807_22	No	South
JB121807_26	No	South
JB121807_39	No	South
JB121807_05	No	South
JB121807_35	No	South
JB121807_23	No	South
JB121807_27	No	South
JB121807_30	No	South
JB121807_16	No	South
JB121807_18	No	South
JB121807_43	No	South
JB121807_29	No	South
