Region	Sample.ID	Site	Year	No.	TL.cm	BL.cm	BW.g	Sex	GW.g	GSI
West	BOR07_01	Boryeong	2007	1	48	40	1180	F	NA	NA
West	BOR07_02	Boryeong	2007	2	49	40.5	1350	M	NA	NA
West	BOR07_03	Boryeong	2007	3	51	43	1460	M	NA	NA
West	BOR07_04	Boryeong	2007	4	50	41	1420	F	NA	NA
West	BOR07_05	Boryeong	2007	5	48	40	1350	F	NA	NA
West	BOR07_06	Boryeong	2007	6	50	41	1330	F	NA	NA
West	BOR07_07	Boryeong	2007	7	47.5	39	1190	F	NA	NA
West	BOR07_08	Boryeong	2007	8	59	49	2020	F	NA	NA
West	BOR07_09	Boryeong	2007	9	45.5	38	1130	F	NA	NA
West	BOR07_10	Boryeong	2007	10	51.5	49	1590	F	NA	NA
West	BOR07_11	Boryeong	2007	11	51.5	42	1610	F	NA	NA
West	BOR07_12	Boryeong	2007	12	54	45	1900	F	NA	NA
West	BOR07_13	Boryeong	2007	13	53.5	44	1910	M	NA	NA
West	BOR07_14	Boryeong	2007	14	52	44	1910	F	NA	NA
West	BOR07_15	Boryeong	2007	15	50.5	43	1460	F	NA	NA
West	BOR07_16	Boryeong	2007	16	50	40.2	1190	F	NA	NA
West	BOR07_17	Boryeong	2007	17	40.5	38	1430	M	NA	NA
West	BOR07_18	Boryeong	2007	18	40	32	1020	F	NA	NA
West	BOR07_19	Boryeong	2007	19	41	34	790	M	NA	NA
West	BOR07_20	Boryeong	2007	20	44.5	36	870	F	NA	NA
West	BOR07_21	Boryeong	2007	21	43	36	800	M	NA	NA
West	BOR07_22	Boryeong	2007	22	40	31	970	M	NA	NA
West	YS_121316_01	Block 161	2015	1	76.3	71.2	5860	M	588.6	10.04
West	YS_121316_02	Block 161	2015	2	81.4	74.5	6840	F	277.12	4.05
West	YS_121316_03	Block 161	2015	3	75.6	68.9	5280	F	364.87	6.91
West	YS_121316_04	Block 161	2015	4	75.5	70.3	5120	F	272.75	5.33
West	YS_121316_05	Block 161	2015	5	67.2	62	4460	M	1200.89	26.93
West	YS_121316_06	Block 161	2015	6	66.6	61.6	3900	F	361.48	9.27
West	YS_121316_07	Block 161	2015	7	65.2	59.5	3080	F	284.75	9.25
West	YS_121316_08	Block 161	2015	8	66.8	61.8	3740	F	217.84	5.82
West	YS_121316_09	Block 161	2015	9	75.3	68.9	4860	F	241.51	4.97
West	YS_121316_10	Block 161	2015	10	65.6	60.4	3420	F	378.92	11.08
West	YS_121316_11	Block 161	2015	11	72.1	66.8	5000	M	1038.48	20.77
West	YS_121316_12	Block 161	2015	12	67.3	62.7	4020	F	474.4	11.8
West	YS_121316_13	Block 161	2015	13	61.5	57.2	3300	M	835.98	25.33
West	YS_121316_14	Block 161	2015	14	67.4	68.3	3260	F	265.53	8.15
West	YS_121316_15	Block 161	2015	15	66.1	60.5	3420	F	293.15	8.57
West	YS_121316_16	Block 161	2015	16	61.5	56.2	3240	M	865.13	26.7
West	YS_121316_17	Block 161	2015	17	64.6	59.7	3020	F	171.73	5.69
West	YS_121316_18	Block 161	2015	18	65.3	61.1	3120	F	247.82	7.94
West	YS_121316_19	Block 161	2015	19	64.1	59.8	3130	F	266.73	8.52
West	YS_121316_20	Block 161	2015	20	62.2	57.8	3220	F	262.15	8.14
West	YS_121316_21	Block 161	2015	21	60.6	56.8	3240	M	731.32	22.57
West	YS_121316_22	Block 161	2015	22	65.6	60.8	3420	F	236.53	6.92
West	YS_121316_23	Block 161	2015	23	65.6	60.9	3200	F	174.58	5.46
West	YS_121316_24	Block 161	2015	24	64.5	60.4	2860	F	253.72	8.87
West	YS_121316_25	Block 161	2015	25	62.5	58.1	3120	F	189.54	6.08
West	YS_121316_26	Block 161	2015	26	59	55.3	2720	M	433.63	15.94
West	YS_121316_27	Block 161	2015	27	61.1	57.2	2820	F	223.32	7.92
West	YS_121316_28	Block 161	2015	28	62.4	58.6	2780	F	258.12	9.28
West	YS_121316_29	Block 161	2015	29	58.1	54.2	2880	M	696.46	24.18
West	YS_121316_30	Block 161	2015	30	61.3	57.2	2920	F	217.67	7.45
South	PO010715_02	Pohang	2015	2	59	54.2	2033.2	F	345.1	16.97
South	PO010715_04	Pohang	2015	4	42	38	1036.3	F	7.8	0.75
South	PO010715_06	Pohang	2015	6	74	68	4300	F	475.3	11.05
