populations -b 7 -P stacks_b8_wgenome -M scripts/PopMap_L1-5.txt -t 36 -r 0.80 -p 4 -m 10 --write_random_snp --genepop --fasta
populations version 1.44 executed 2017-09-28 12:21:15

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
0	12
1	5
2	4
8	1
9	4
10	1
12	1
14	3
15	2
16	4
17	2
18	1
19	1
21	1
22	2
23	2
24	1
26	2
27	2
32	2
33	3
34	3
35	2
36	1
37	3
38	1
39	2
40	1
41	2
42	1
47	2
49	1
51	3
52	1
54	3
55	3
56	4
57	1
58	2
59	3
61	1
62	1
63	1
64	1
65	1
66	1
68	1
69	1
70	2
71	3
72	2
73	2
74	1
75	3
76	1
77	1
78	3
79	2
80	2
81	2
82	3
83	4
84	4
85	3
86	2
87	5
88	2
90	3
92	1
93	2
94	2
95	1
96	4
97	2
98	2
99	2
100	1
101	2
102	2
104	2
105	2
106	2
107	2
108	1
109	3
110	4
111	1
112	1
113	1
114	2
115	5
116	3
117	3
118	1
119	1
120	6
121	5
122	3
123	4
124	1
126	1
127	1
128	5
129	2
130	1
131	1
132	3
133	2
134	3
135	2
136	3
137	4
138	2
141	4
142	2
143	4
144	2
145	2
146	3
147	2
148	4
149	2
150	6
151	2
152	4
153	3
154	3
155	4
156	3
157	4
158	6
159	1
160	2
161	2
162	4
163	4
164	6
165	5
166	3
167	1
168	2
169	6
170	2
171	3
172	3
173	4
174	1
175	7
176	5
177	6
178	4
179	1
180	6
181	6
182	4
183	7
184	4
185	3
186	4
187	5
188	3
189	6
190	4
191	6
192	3
193	6
194	6
195	4
196	8
197	9
198	3
199	7
200	4
201	9
202	13
203	6
204	13
205	13
206	7
207	7
208	10
209	19
210	11
211	12
212	8
213	9
214	13
215	15
216	11
217	14
218	17
219	13
220	16
221	15
222	13
223	31
224	17
225	30
226	26
227	23
228	29
229	27
230	21
231	27
232	18
233	35
234	32
235	30
236	30
237	44
238	32
239	27
240	44
241	41
242	43
243	44
244	34
245	42
246	41
247	57
248	45
249	51
250	53
251	66
252	58
253	67
254	75
255	53
256	65
257	69
258	69
259	72
260	77
261	79
262	75
263	70
264	70
265	89
266	91
267	110
268	83
269	95
270	105
271	109
272	116
273	119
274	126
275	124
276	154
277	145
278	143
279	146
280	162
281	170
282	192
283	190
284	194
285	194
286	219
287	237
288	233
289	274
290	261
291	269
292	285
293	316
294	321
295	323
296	375
297	324
298	371
299	368
300	412
301	431
302	453
303	514
304	499
305	577
306	627
307	673
308	703
309	780
310	881
311	942
312	1056
313	1068
314	1114
315	1085
316	1097
317	856
318	670
319	481
320	310
321	148
322	72
323	30
324	12
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	25222
2	1
4	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	25222
2	1
4	1
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
89	1
90	2
91	5
92	2
93	10
94	1
95	12
96	16
97	9
98	8
99	9
100	14
101	19
102	13
103	13
104	20
105	22
106	19
107	26
108	27
109	34
110	19
111	27
112	24
113	36
114	26
115	24
116	25
117	34
118	24
119	20
120	16
121	16
122	10
123	14
124	11
125	19
126	30
127	14
128	18
129	13
130	27
131	28
132	20
133	23
134	29
135	18
136	32
137	25
138	20
139	32
140	29
141	25
142	32
143	34
144	27
145	18
146	22
147	19
148	13
149	12
150	14
151	7
152	12
153	6
154	14
155	14
156	21
157	21
158	31
159	41
160	31
161	31
162	42
163	47
164	42
165	43
166	59
167	54
168	61
169	54
170	49
171	33
172	47
173	37
174	30
175	44
176	29
177	35
178	38
179	28
180	18
181	19
182	16
183	19
184	22
185	16
186	16
187	19
188	17
189	21
190	34
191	20
192	30
193	34
194	50
195	48
196	78
197	77
198	83
199	125
200	131
201	161
202	166
203	193
204	214
205	297
206	338
207	408
208	443
209	475
210	564
211	522
212	448
213	392
214	203
215	80
216	35
217	27
218	22
219	22
220	16
221	13
222	18
223	17
224	9
225	11
226	4
227	11
228	10
229	9
230	10
231	5
232	5
233	3
234	5
235	10
236	13
237	11
238	13
239	16
240	11
241	21
242	30
243	27
244	26
245	34
246	34
247	44
248	56
249	69
250	79
251	79
252	117
253	124
254	183
255	221
256	234
257	289
258	297
259	294
260	258
261	231
262	169
263	103
264	81
265	42
266	37
267	20
268	18
269	14
270	13
271	13
272	11
273	12
274	7
275	8
276	4
277	7
278	9
279	3
280	1
281	1
282	1
283	10
284	8
285	6
286	6
287	12
288	13
289	14
290	24
291	30
292	31
293	39
294	46
295	59
296	85
297	95
298	140
299	193
300	214
301	256
302	347
303	392
304	519
305	542
306	622
307	615
308	670
309	767
310	740
311	788
312	814
313	772
314	732
315	597
316	483
317	370
318	245
319	160
320	93
321	50
322	28
323	14
324	8
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	23293
2	1
4	1
