CURRENT	MARKER_NUMBER	METHOD	MISSING_DATA	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX
Pohang	10	ranked_thl_0.5	no.imputation	18.8	4.23	0	38	19	7.5	28	14.57	23.03
Pohang	50	ranked_thl_0.5	no.imputation	17.5	2.79	0	25	19	13.75	25	14.71	20.29
Pohang	100	ranked_thl_0.5	no.imputation	17.4	2.64	0	25	19	12	25	14.759999999999998	20.04
Pohang	200	ranked_thl_0.5	no.imputation	16.8	3.32	6	38	15.5	7.5	23.5	13.48	20.12
Pohang	500	ranked_thl_0.5	no.imputation	18.7	3.94	6	38	15.5	7.5	25	14.76	22.64
Pohang	1e3	ranked_thl_0.5	no.imputation	21.1	2.18	12	31	25	13.75	25	18.92	23.28
Pohang	2e3	ranked_thl_0.5	no.imputation	22	3.91	0	38	22	19	29.5	18.09	25.91
Pohang	5e3	ranked_thl_0.5	no.imputation	37	3.97	19	62	38	26.5	44	33.03	40.97
Pohang	5804	ranked_thl_0.5	no.imputation	28.7	1.66	19	38	31	25	31	27.04	30.36
Geoje_2014-15	10	ranked_thl_0.5	no.imputation	8.5	2.6	0	29	7	7	7	5.9	11.1
Geoje_2014-15	50	ranked_thl_0.5	no.imputation	19.9	2.63	7	29	21	15.75	27	17.27	22.529999999999998
Geoje_2014-15	100	ranked_thl_0.5	no.imputation	16.3	2.46	7	29	14	14	19.25	13.84	18.76
Geoje_2014-15	200	ranked_thl_0.5	no.imputation	20.8	2.81	7	29	21.5	14	29	17.990000000000002	23.61
Geoje_2014-15	500	ranked_thl_0.5	no.imputation	24.3	3.79	7	43	25	14	34.25	20.51	28.09
Geoje_2014-15	1e3	ranked_thl_0.5	no.imputation	28.6	2.9	14	43	29	21	36	25.700000000000003	31.5
Geoje_2014-15	2e3	ranked_thl_0.5	no.imputation	38.6	4.03	21	57	43	29	48.25	34.57	42.63
Geoje_2014-15	5e3	ranked_thl_0.5	no.imputation	39.4	2.88	21	57	39.5	36	43	36.519999999999996	42.28
Geoje_2014-15	5804	ranked_thl_0.5	no.imputation	42.3	2.85	29	57	43	37.75	48.25	39.449999999999996	45.15
Namhae	10	ranked_thl_0.5	no.imputation	11.9	2.6	0	17	17	4.25	17	9.3	14.5
Namhae	50	ranked_thl_0.5	no.imputation	18.5	2.94	0	33	17	17	17	15.56	21.44
Namhae	100	ranked_thl_0.5	no.imputation	10.2	2.78	0	17	17	0	17	7.42	12.979999999999999
Namhae	200	ranked_thl_0.5	no.imputation	6.8	2.78	0	17	0	0	17	4.02	9.58
Namhae	500	ranked_thl_0.5	no.imputation	0	0	0	0	0	0	0	0	0
Namhae	1e3	ranked_thl_0.5	no.imputation	0	0	0	0	0	0	0	0	0
Namhae	2e3	ranked_thl_0.5	no.imputation	0	0	0	0	0	0	0	0	0
Namhae	5e3	ranked_thl_0.5	no.imputation	0	0	0	0	0	0	0	0	0
Namhae	5804	ranked_thl_0.5	no.imputation	0	0	0	0	0	0	0	0	0
YellowSea	10	ranked_thl_0.5	no.imputation	27.6	3.77	8	42	25	19	39.75	23.830000000000002	31.37
YellowSea	50	ranked_thl_0.5	no.imputation	48.4	4.46	25	67	46	42	58	43.94	52.86
YellowSea	100	ranked_thl_0.5	no.imputation	51.7	3.71	25	67	50	50	56	47.99	55.410000000000004
YellowSea	200	ranked_thl_0.5	no.imputation	64.1	2.23	58	75	62.5	58	67	61.87	66.33
YellowSea	500	ranked_thl_0.5	no.imputation	64.1	4.68	33	83	67	58	75	59.419999999999995	68.78
YellowSea	1e3	ranked_thl_0.5	no.imputation	74.1	4.02	50	92	75	69	83	70.08	78.11999999999999
YellowSea	2e3	ranked_thl_0.5	no.imputation	86.7	1.92	75	92	87.5	83	92	84.78	88.62
YellowSea	5e3	ranked_thl_0.5	no.imputation	99.2	0.8	92	100	100	100	100	98.4	100
YellowSea	5804	ranked_thl_0.5	no.imputation	99.2	0.8	92	100	100	100	100	98.4	100
Jukbyeon	10	ranked_thl_0.5	no.imputation	68.1	3.02	56	81	69	59.25	73.5	65.08	71.11999999999999
Jukbyeon	50	ranked_thl_0.5	no.imputation	82.5	2.79	75	100	81	75	86.25	79.71	85.29
Jukbyeon	100	ranked_thl_0.5	no.imputation	84.4	2.39	75	94	81	81	92.5	82.01	86.79
Jukbyeon	200	ranked_thl_0.5	no.imputation	85.8	2.35	75	94	88	81	92.5	83.45	88.14999999999999
