Population	Site	Year	Site_ID	Ne1	Ne1_upper	Ne1_lower
Korea	Block 161	2015	Block 161	690.6059453	627.6498026	767.4532206
Korea	Boryeong	2007	Boryeong	1777.427776	1372.545863	2518.500589
Korea	Jukbyeon	2007	Jukbyeon	1664.387091	1386.564437	2079.846656
Korea	Jinhaeman Bay	2007	Jinhaeman Bay	443.1143886	433.9385945	452.6725074
Korea	South Coast	2014	South 2014	1576.579839	1510.69254	1751.812018
Korea	Geoje	2013	Geoje 2013	630.9632838	564.3113352	715.202171
Korea	Geoje	2014	Geoje 2014	1044.001459	924.7161356	1198.078334
Korea	Jinhaeman Bay	2007 Dec.	Jinhaeman Dec	188.8684279	184.9177388	192.819117
Korea	Jinhaeman Bay	2007 Feb.	Jinhaeman Feb	771.021585	722.5937829	826.203791
Korea	Pohang	2014	Pohang	2940.587116	2341.229345	3949.924463
North America	Salish Sea	2013	Salish Sea	3646.103727	2584.515329	6180.916838
North America	Wash. Coast	2005	Wash. Coast	2964.291251	2400.999448	3871.675331
North America	Hecate Strait	2004	Hecate Strait	39188.28717	10006.7132	NA
North America	PWSound	2012	P.W. Sound	11021.14821	6732.738898	30268.65068
North America	Kodiak	2003	Kodiak	6790.087611	4637.599252	12644.75399
North America	Unimak Pass	2003	Unimak Pass	9451.067891	5666.052838	28377.41757
North America	Adak	2006	Adak	3609.145667	2680.096518	5513.122936

