"pair.label"	"strata.1"	"strata.2"	"n.1"	"n.2"	"Fst"	"Fst.p.val"
"1"	"BOR07_21_2 (21) v. GE011215_11 (28)"	"BOR07_21_2"	"GE011215_11"	21	28	0.0409089168469368	0.000999000999000999
"2"	"BOR07_21_2 (21) v. GEO020414_30_2 (22)"	"BOR07_21_2"	"GEO020414_30_2"	21	22	0.0381837227078443	0.000999000999000999
"3"	"BOR07_21_2 (21) v. JB021108_23 (39)"	"BOR07_21_2"	"JB021108_23"	21	39	0.03902002732197	0.000999000999000999
"4"	"BOR07_21_2 (21) v. JB121807_29 (34)"	"BOR07_21_2"	"JB121807_29"	21	34	0.0422738745743643	0.000999000999000999
"5"	"BOR07_21_2 (21) v. JUK07_33 (32)"	"BOR07_21_2"	"JUK07_33"	21	32	0.0266108714116899	0.000999000999000999
"6"	"BOR07_21_2 (21) v. NA021015_30 (11)"	"BOR07_21_2"	"NA021015_30"	21	11	0.0257769792286111	0.000999000999000999
"7"	"BOR07_21_2 (21) v. PO010715_07 (31)"	"BOR07_21_2"	"PO010715_07"	21	31	0.0363519514667114	0.000999000999000999
"8"	"BOR07_21_2 (21) v. YS_121316_07 (25)"	"BOR07_21_2"	"YS_121316_07"	21	25	0.00277814559295343	0.000999000999000999
"9"	"GE011215_11 (28) v. GEO020414_30_2 (22)"	"GE011215_11"	"GEO020414_30_2"	28	22	0.00307756228527565	0.000999000999000999
"10"	"GE011215_11 (28) v. JB021108_23 (39)"	"GE011215_11"	"JB021108_23"	28	39	0.00258539514661252	0.000999000999000999
"11"	"GE011215_11 (28) v. JB121807_29 (34)"	"GE011215_11"	"JB121807_29"	28	34	0.00313507138912003	0.000999000999000999
"12"	"GE011215_11 (28) v. JUK07_33 (32)"	"GE011215_11"	"JUK07_33"	28	32	0.0406861452289072	0.000999000999000999
"13"	"GE011215_11 (28) v. NA021015_30 (11)"	"GE011215_11"	"NA021015_30"	28	11	0.00459479602297174	0.000999000999000999
"14"	"GE011215_11 (28) v. PO010715_07 (31)"	"GE011215_11"	"PO010715_07"	28	31	0.00226694180177914	0.000999000999000999
"15"	"GE011215_11 (28) v. YS_121316_07 (25)"	"GE011215_11"	"YS_121316_07"	28	25	0.038670082917749	0.000999000999000999
"16"	"GEO020414_30_2 (22) v. JB021108_23 (39)"	"GEO020414_30_2"	"JB021108_23"	22	39	0.000700244443590824	0.181818181818182
"17"	"GEO020414_30_2 (22) v. JB121807_29 (34)"	"GEO020414_30_2"	"JB121807_29"	22	34	0.000960337453467091	0.174825174825175
"18"	"GEO020414_30_2 (22) v. JUK07_33 (32)"	"GEO020414_30_2"	"JUK07_33"	22	32	0.0395514751018702	0.000999000999000999
"19"	"GEO020414_30_2 (22) v. NA021015_30 (11)"	"GEO020414_30_2"	"NA021015_30"	22	11	0.00299513235287964	0.01998001998002
"20"	"GEO020414_30_2 (22) v. PO010715_07 (31)"	"GEO020414_30_2"	"PO010715_07"	22	31	0.00124025645146301	0.032967032967033
"21"	"GEO020414_30_2 (22) v. YS_121316_07 (25)"	"GEO020414_30_2"	"YS_121316_07"	22	25	0.0364167859000161	0.000999000999000999
"22"	"JB021108_23 (39) v. JB121807_29 (34)"	"JB021108_23"	"JB121807_29"	39	34	0.000189284734860517	0.377622377622378
"23"	"JB021108_23 (39) v. JUK07_33 (32)"	"JB021108_23"	"JUK07_33"	39	32	0.0393500823391674	0.000999000999000999
"24"	"JB021108_23 (39) v. NA021015_30 (11)"	"JB021108_23"	"NA021015_30"	39	11	0.0017690741375011	0.0739260739260739
"25"	"JB021108_23 (39) v. PO010715_07 (31)"	"JB021108_23"	"PO010715_07"	39	31	0.000823545279772647	0.0739260739260739
"26"	"JB021108_23 (39) v. YS_121316_07 (25)"	"JB021108_23"	"YS_121316_07"	39	25	0.0370750746272826	0.000999000999000999
"27"	"JB121807_29 (34) v. JUK07_33 (32)"	"JB121807_29"	"JUK07_33"	34	32	0.0420334962230741	0.000999000999000999
"28"	"JB121807_29 (34) v. NA021015_30 (11)"	"JB121807_29"	"NA021015_30"	34	11	0.00367018429018784	0.038961038961039
"29"	"JB121807_29 (34) v. PO010715_07 (31)"	"JB121807_29"	"PO010715_07"	34	31	0.00158279359076526	0.01998001998002
"30"	"JB121807_29 (34) v. YS_121316_07 (25)"	"JB121807_29"	"YS_121316_07"	34	25	0.0404465578520031	0.000999000999000999
"31"	"JUK07_33 (32) v. NA021015_30 (11)"	"JUK07_33"	"NA021015_30"	32	11	0.0306322986619815	0.000999000999000999
"32"	"JUK07_33 (32) v. PO010715_07 (31)"	"JUK07_33"	"PO010715_07"	32	31	0.0378558617677696	0.000999000999000999
"33"	"JUK07_33 (32) v. YS_121316_07 (25)"	"JUK07_33"	"YS_121316_07"	32	25	0.0276950633049631	0.000999000999000999
"34"	"NA021015_30 (11) v. PO010715_07 (31)"	"NA021015_30"	"PO010715_07"	11	31	0.00210053029903567	0.040959040959041
"35"	"NA021015_30 (11) v. YS_121316_07 (25)"	"NA021015_30"	"YS_121316_07"	11	25	0.0253374961991905	0.000999000999000999
"36"	"PO010715_07 (31) v. YS_121316_07 (25)"	"PO010715_07"	"YS_121316_07"	31	25	0.0347447823637027	0.000999000999000999
